E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
3.2,3.4,-36.87,-34.06,0
3.4,3.6,-36.87,-34.06,0
3.6,3.8,-36.87,-34.06,0
3.8,4,-36.87,-34.06,0
4,4.2,-36.87,-34.06,0
4.2,4.4,-36.87,-34.06,81.94
4.4,4.6,-36.87,-34.06,1267.76
4.6,4.8,-36.87,-34.06,5033.96
4.8,5,-36.87,-34.06,16430.57
5,5.2,-36.87,-34.06,48112.59
5.2,5.4,-36.87,-34.06,142359.99
5.4,5.6,-36.87,-34.06,314676.27
5.6,5.8,-36.87,-34.06,597830.64
5.8,6,-36.87,-34.06,1004510.35
6,6.2,-36.87,-34.06,1537460.16
6.2,6.4,-36.87,-34.06,2222400.21
6.4,6.6,-36.87,-34.06,3116312.9
6.6,6.8,-36.87,-34.06,4012947.78
6.8,7,-36.87,-34.06,5196746.54
7,7.2,-36.87,-34.06,6665057.12
7.2,7.4,-36.87,-34.06,8000425.71
7.4,7.6,-36.87,-34.06,9694481.46
7.6,7.8,-36.87,-34.06,11738168.42
7.8,8,-36.87,-34.06,13984840.22
8,8.2,-36.87,-34.06,16151486.46
8.2,8.4,-36.87,-34.06,19703050.53
8.4,8.6,-36.87,-34.06,22547090.45
8.6,8.8,-36.87,-34.06,25155745.61
8.8,9,-36.87,-34.06,31293431.31
9,9.2,-36.87,-34.06,0
9.2,9.4,-36.87,-34.06,0
9.4,9.6,-36.87,-34.06,0
9.6,9.8,-36.87,-34.06,0
9.8,10,-36.87,-34.06,0
2,2.2,-34.06,-31.33,0
2.2,2.4,-34.06,-31.33,0
2.4,2.6,-34.06,-31.33,0
2.6,2.8,-34.06,-31.33,0
2.8,3,-34.06,-31.33,0
3,3.2,-34.06,-31.33,0
3.2,3.4,-34.06,-31.33,0
3.4,3.6,-34.06,-31.33,0
3.6,3.8,-34.06,-31.33,0
3.8,4,-34.06,-31.33,0
4,4.2,-34.06,-31.33,0
4.2,4.4,-34.06,-31.33,139.98
4.4,4.6,-34.06,-31.33,1880.19
4.6,4.8,-34.06,-31.33,6562.75
4.8,5,-34.06,-31.33,19400.46
5,5.2,-34.06,-31.33,56634.48
5.2,5.4,-34.06,-31.33,156686.85
5.4,5.6,-34.06,-31.33,334946.62
5.6,5.8,-34.06,-31.33,641545.37
5.8,6,-34.06,-31.33,1102852.67
6,6.2,-34.06,-31.33,1682557.39
6.2,6.4,-34.06,-31.33,2467196.87
6.4,6.6,-34.06,-31.33,3232842.36
6.6,6.8,-34.06,-31.33,4283125.13
6.8,7,-34.06,-31.33,5504757.65
7,7.2,-34.06,-31.33,6761545.5
7.2,7.4,-34.06,-31.33,8525375.19
7.4,7.6,-34.06,-31.33,10273169.33
7.6,7.8,-34.06,-31.33,12587810.83
7.8,8,-34.06,-31.33,14907443.65
8,8.2,-34.06,-31.33,17441839.33
8.2,8.4,-34.06,-31.33,20493872.83
8.4,8.6,-34.06,-31.33,23834012.98
8.6,8.8,-34.06,-31.33,27283046.62
8.8,9,-34.06,-31.33,32372334.34
9,9.2,-34.06,-31.33,0
9.2,9.4,-34.06,-31.33,0
9.4,9.6,-34.06,-31.33,0
9.6,9.8,-34.06,-31.33,0
9.8,10,-34.06,-31.33,0
2,2.2,-31.33,-28.69,0
2.2,2.4,-31.33,-28.69,0
2.4,2.6,-31.33,-28.69,0
2.6,2.8,-31.33,-28.69,0
2.8,3,-31.33,-28.69,0
3,3.2,-31.33,-28.69,0
3.2,3.4,-31.33,-28.69,0
3.4,3.6,-31.33,-28.69,0
3.6,3.8,-31.33,-28.69,0
3.8,4,-31.33,-28.69,0
4,4.2,-31.33,-28.69,0
4.2,4.4,-31.33,-28.69,336.64
4.4,4.6,-31.33,-28.69,2155.83
4.6,4.8,-31.33,-28.69,6289.95
4.8,5,-31.33,-28.69,19792.39
5,5.2,-31.33,-28.69,61750.56
5.2,5.4,-31.33,-28.69,163727.82
5.4,5.6,-31.33,-28.69,367872.08
5.6,5.8,-31.33,-28.69,696119.84
5.8,6,-31.33,-28.69,1153896.26
6,6.2,-31.33,-28.69,1732754.3
6.2,6.4,-31.33,-28.69,2570566.51
6.4,6.6,-31.33,-28.69,3450257.35
6.6,6.8,-31.33,-28.69,4403804.17
6.8,7,-31.33,-28.69,5975986.27
7,7.2,-31.33,-28.69,7309197.77
7.2,7.4,-31.33,-28.69,8759493.32
7.4,7.6,-31.33,-28.69,11091516.65
7.6,7.8,-31.33,-28.69,13115855.78
7.8,8,-31.33,-28.69,16033839.91
8,8.2,-31.33,-28.69,19598309.02
8.2,8.4,-31.33,-28.69,21209470.92
8.4,8.6,-31.33,-28.69,26206487.34
8.6,8.8,-31.33,-28.69,28942933.92
8.8,9,-31.33,-28.69,33853288.33
9,9.2,-31.33,-28.69,0
9.2,9.4,-31.33,-28.69,0
9.4,9.6,-31.33,-28.69,0
9.6,9.8,-31.33,-28.69,0
9.8,10,-31.33,-28.69,0
2,2.2,-28.69,-26.1,0
2.2,2.4,-28.69,-26.1,0
2.4,2.6,-28.69,-26.1,0
2.6,2.8,-28.69,-26.1,0
2.8,3,-28.69,-26.1,0
3,3.2,-28.69,-26.1,0
3.2,3.4,-28.69,-26.1,0
3.4,3.6,-28.69,-26.1,0
3.6,3.8,-28.69,-26.1,0
3.8,4,-28.69,-26.1,0
4,4.2,-28.69,-26.1,0
4.2,4.4,-28.69,-26.1,328.18
4.4,4.6,-28.69,-26.1,2262.83
4.6,4.8,-28.69,-26.1,6215
4.8,5,-28.69,-26.1,23790.44
5,5.2,-28.69,-26.1,68325.26
5.2,5.4,-28.69,-26.1,166071.06
5.4,5.6,-28.69,-26.1,390449.87
5.6,5.8,-28.69,-26.1,741314.14
5.8,6,-28.69,-26.1,1290655.17
6,6.2,-28.69,-26.1,1876972.23
6.2,6.4,-28.69,-26.1,2679919.96
6.4,6.6,-28.69,-26.1,3675313.55
6.6,6.8,-28.69,-26.1,4934353.13
6.8,7,-28.69,-26.1,6285120.12
7,7.2,-28.69,-26.1,7677490.77
7.2,7.4,-28.69,-26.1,9521294.22
7.4,7.6,-28.69,-26.1,11776462.66
7.6,7.8,-28.69,-26.1,14521753.84
7.8,8,-28.69,-26.1,16834772.7
8,8.2,-28.69,-26.1,19722589.25
