E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
6.8,7,-34.06,-31.33,2120647.64
7,7.2,-34.06,-31.33,2558779
7.2,7.4,-34.06,-31.33,3273174.36
7.4,7.6,-34.06,-31.33,3649812.03
7.6,7.8,-34.06,-31.33,4339678.18
7.8,8,-34.06,-31.33,4592804.56
8,8.2,-34.06,-31.33,4900635.57
8.2,8.4,-34.06,-31.33,4536029.02
8.4,8.6,-34.06,-31.33,4070640.34
8.6,8.8,-34.06,-31.33,3808112.31
8.8,9,-34.06,-31.33,3024328.49
9,9.2,-34.06,-31.33,2331008.57
9.2,9.4,-34.06,-31.33,2140884.97
9.4,9.6,-34.06,-31.33,1354048.13
9.6,9.8,-34.06,-31.33,1500303.04
9.8,10,-34.06,-31.33,891971.15
2,2.2,-31.33,-28.69,0
2.2,2.4,-31.33,-28.69,0
2.4,2.6,-31.33,-28.69,0
2.6,2.8,-31.33,-28.69,0
2.8,3,-31.33,-28.69,0
3,3.2,-31.33,-28.69,0
3.2,3.4,-31.33,-28.69,0
3.4,3.6,-31.33,-28.69,0
3.6,3.8,-31.33,-28.69,0
3.8,4,-31.33,-28.69,0
4,4.2,-31.33,-28.69,0
4.2,4.4,-31.33,-28.69,0
4.4,4.6,-31.33,-28.69,0
4.6,4.8,-31.33,-28.69,0
4.8,5,-31.33,-28.69,1178.33
5,5.2,-31.33,-28.69,3173.87
5.2,5.4,-31.33,-28.69,9537.48
5.4,5.6,-31.33,-28.69,30839.02
5.6,5.8,-31.33,-28.69,90116.96
5.8,6,-31.33,-28.69,199590.7
6,6.2,-31.33,-28.69,387021.13
6.2,6.4,-31.33,-28.69,774943.97
6.4,6.6,-31.33,-28.69,1180191.09
6.6,6.8,-31.33,-28.69,1729931.87
6.8,7,-31.33,-28.69,2417476.25
7,7.2,-31.33,-28.69,2726083.91
7.2,7.4,-31.33,-28.69,3495428.19
7.4,7.6,-31.33,-28.69,3925453.54
7.6,7.8,-31.33,-28.69,5047916.52
7.8,8,-31.33,-28.69,5043874.74
8,8.2,-31.33,-28.69,5368264.92
8.2,8.4,-31.33,-28.69,5402703.51
8.4,8.6,-31.33,-28.69,4980999.26
8.6,8.8,-31.33,-28.69,4503020.16
8.8,9,-31.33,-28.69,3861479.28
9,9.2,-31.33,-28.69,3229653.32
9.2,9.4,-31.33,-28.69,2479060.41
9.4,9.6,-31.33,-28.69,1964050.1
9.6,9.8,-31.33,-28.69,1598684.6
9.8,10,-31.33,-28.69,1558182.69
2,2.2,-28.69,-26.1,0
