E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
9,9.2,-42.84,-39.79,0
9.2,9.4,-42.84,-39.79,0
9.4,9.6,-42.84,-39.79,0
9.6,9.8,-42.84,-39.79,0
9.8,10,-42.84,-39.79,0
2,2.2,-39.79,-36.87,0
2.2,2.4,-39.79,-36.87,0
2.4,2.6,-39.79,-36.87,0
2.6,2.8,-39.79,-36.87,0
2.8,3,-39.79,-36.87,0
3,3.2,-39.79,-36.87,0
3.2,3.4,-39.79,-36.87,0.26
3.4,3.6,-39.79,-36.87,0.93
3.6,3.8,-39.79,-36.87,0
3.8,4,-39.79,-36.87,0
4,4.2,-39.79,-36.87,0
4.2,4.4,-39.79,-36.87,10.97
4.4,4.6,-39.79,-36.87,26.1
4.6,4.8,-39.79,-36.87,295.75
4.8,5,-39.79,-36.87,1845.41
5,5.2,-39.79,-36.87,11088.51
5.2,5.4,-39.79,-36.87,41102.68
5.4,5.6,-39.79,-36.87,110230.86
5.6,5.8,-39.79,-36.87,299097.66
5.8,6,-39.79,-36.87,577336.24
6,6.2,-39.79,-36.87,979170.78
6.2,6.4,-39.79,-36.87,1591856.88
6.4,6.6,-39.79,-36.87,2259440.53
6.6,6.8,-39.79,-36.87,3106485.56
6.8,7,-39.79,-36.87,4121467.74
7,7.2,-39.79,-36.87,5389344.29
7.2,7.4,-39.79,-36.87,7145936.89
7.4,7.6,-39.79,-36.87,8365309.93
7.6,7.8,-39.79,-36.87,10122263.81
7.8,8,-39.79,-36.87,13216242.19
8,8.2,-39.79,-36.87,14971952.8
8.2,8.4,-39.79,-36.87,17414447.28
8.4,8.6,-39.79,-36.87,22491808.21
8.6,8.8,-39.79,-36.87,24196627.9
8.8,9,-39.79,-36.87,30307657.73
9,9.2,-39.79,-36.87,0
9.2,9.4,-39.79,-36.87,0
9.4,9.6,-39.79,-36.87,0
9.6,9.8,-39.79,-36.87,0
9.8,10,-39.79,-36.87,0
2,2.2,-36.87,-34.06,0
2.2,2.4,-36.87,-34.06,0
2.4,2.6,-36.87,-34.06,0
2.6,2.8,-36.87,-34.06,0
2.8,3,-36.87,-34.06,0
3,3.2,-36.87,-34.06,0.05
3.2,3.4,-36.87,-34.06,0
3.4,3.6,-36.87,-34.06,0
3.6,3.8,-36.87,-34.06,0
3.8,4,-36.87,-34.06,4.94
4,4.2,-36.87,-34.06,0
4.2,4.4,-36.87,-34.06,0
4.4,4.6,-36.87,-34.06,63.64
4.6,4.8,-36.87,-34.06,300.55
4.8,5,-36.87,-34.06,1716.79
5,5.2,-36.87,-34.06,11925.45
5.2,5.4,-36.87,-34.06,50701.52
5.4,5.6,-36.87,-34.06,137441.77
5.6,5.8,-36.87,-34.06,342026.38
5.8,6,-36.87,-34.06,631275.26
6,6.2,-36.87,-34.06,1087374.98
6.2,6.4,-36.87,-34.06,1719713.89
6.4,6.6,-36.87,-34.06,2369821.75
6.6,6.8,-36.87,-34.06,3187896.93
6.8,7,-36.87,-34.06,4383351.27
7,7.2,-36.87,-34.06,5616324.27
7.2,7.4,-36.87,-34.06,7254695.61
7.4,7.6,-36.87,-34.06,8203072.05
7.6,7.8,-36.87,-34.06,10959446.13
7.8,8,-36.87,-34.06,13666436.27
8,8.2,-36.87,-34.06,16064011.89
8.2,8.4,-36.87,-34.06,19686059.75
8.4,8.6,-36.87,-34.06,22823425.72
8.6,8.8,-36.87,-34.06,27595600.95
8.8,9,-36.87,-34.06,31223366.34
9,9.2,-36.87,-34.06,0
9.2,9.4,-36.87,-34.06,0
9.4,9.6,-36.87,-34.06,0
9.6,9.8,-36.87,-34.06,0
9.8,10,-36.87,-34.06,0
2,2.2,-34.06,-31.33,0
2.2,2.4,-34.06,-31.33,0
2.4,2.6,-34.06,-31.33,0
2.6,2.8,-34.06,-31.33,0
2.8,3,-34.06,-31.33,0.02
3,3.2,-34.06,-31.33,0
3.2,3.4,-34.06,-31.33,0
3.4,3.6,-34.06,-31.33,0
3.6,3.8,-34.06,-31.33,0
3.8,4,-34.06,-31.33,1.29
4,4.2,-34.06,-31.33,6.82
4.2,4.4,-34.06,-31.33,0
4.4,4.6,-34.06,-31.33,10.43
4.6,4.8,-34.06,-31.33,335.68
4.8,5,-34.06,-31.33,3073.21
5,5.2,-34.06,-31.33,13389.47
5.2,5.4,-34.06,-31.33,49816.09
5.4,5.6,-34.06,-31.33,170376.72
5.6,5.8,-34.06,-31.33,375828.24
5.8,6,-34.06,-31.33,708148.06
6,6.2,-34.06,-31.33,1219925.18
6.2,6.4,-34.06,-31.33,1799014.84
6.4,6.6,-34.06,-31.33,2603594.1
6.6,6.8,-34.06,-31.33,3524068.53
6.8,7,-34.06,-31.33,4523097.44
7,7.2,-34.06,-31.33,5840383.54
7.2,7.4,-34.06,-31.33,8053061.03
7.4,7.6,-34.06,-31.33,9998504.96
7.6,7.8,-34.06,-31.33,13058064.84
7.8,8,-34.06,-31.33,15411807.1
8,8.2,-34.06,-31.33,18266472.38
8.2,8.4,-34.06,-31.33,21125571.38
8.4,8.6,-34.06,-31.33,23374770.97
8.6,8.8,-34.06,-31.33,27534644.91
8.8,9,-34.06,-31.33,34001591.39
9,9.2,-34.06,-31.33,0
9.2,9.4,-34.06,-31.33,0
9.4,9.6,-34.06,-31.33,0
9.6,9.8,-34.06,-31.33,0
9.8,10,-34.06,-31.33,0
2,2.2,-31.33,-28.69,0
2.2,2.4,-31.33,-28.69,0
2.4,2.6,-31.33,-28.69,0
2.6,2.8,-31.33,-28.69,0
2.8,3,-31.33,-28.69,0
3,3.2,-31.33,-28.69,0
3.2,3.4,-31.33,-28.69,0.09
3.4,3.6,-31.33,-28.69,0.38
3.6,3.8,-31.33,-28.69,0
3.8,4,-31.33,-28.69,2.93
4,4.2,-31.33,-28.69,0
4.2,4.4,-31.33,-28.69,26
4.4,4.6,-31.33,-28.69,87.17
4.6,4.8,-31.33,-28.69,450.68
4.8,5,-31.33,-28.69,2673.5
5,5.2,-31.33,-28.69,16842.54
5.2,5.4,-31.33,-28.69,68997.25
5.4,5.6,-31.33,-28.69,189622.19
5.6,5.8,-31.33,-28.69,408773.59
5.8,6,-31.33,-28.69,771698.9
6,6.2,-31.33,-28.69,1317128.49
6.2,6.4,-31.33,-28.69,2004270.5
6.4,6.6,-31.33,-28.69,2781096.75
6.6,6.8,-31.33,-28.69,3788511.82
6.8,7,-31.33,-28.69,5108748.91
7,7.2,-31.33,-28.69,6265580.44
7.2,7.4,-31.33,-28.69,8071865.76
7.4,7.6,-31.33,-28.69,10722610.39
7.6,7.8,-31.33,-28.69,13488866.43
7.8,8,-31.33,-28.69,15195944.17
8,8.2,-31.33,-28.69,18037042.99
8.2,8.4,-31.33,-28.69,22926350.42
8.4,8.6,-31.33,-28.69,26687317.27
8.6,8.8,-31.33,-28.69,32116879.05
8.8,9,-31.33,-28.69,40215347.18
9,9.2,-31.33,-28.69,0
9.2,9.4,-31.33,-28.69,0
9.4,9.6,-31.33,-28.69,0
9.6,9.8,-31.33,-28.69,0
9.8,10,-31.33,-28.69,0
2,2.2,-28.69,-26.1,0
2.2,2.4,-28.69,-26.1,0
2.4,2.6,-28.69,-26.1,0
2.6,2.8,-28.69,-26.1,0
2.8,3,-28.69,-26.1,0.06
3,3.2,-28.69,-26.1,0
3.2,3.4,-28.69,-26.1,0.35
3.4,3.6,-28.69,-26.1,0.35
3.6,3.8,-28.69,-26.1,1.05
3.8,4,-28.69,-26.1,0
4,4.2,-28.69,-26.1,6.46
4.2,4.4,-28.69,-26.1,11.69
4.4,4.6,-28.69,-26.1,77.31
4.6,4.8,-28.69,-26.1,452.11
4.8,5,-28.69,-26.1,3384.09
5,5.2,-28.69,-26.1,22704.84
5.2,5.4,-28.69,-26.1,82930.3
5.4,5.6,-28.69,-26.1,217683.55
5.6,5.8,-28.69,-26.1,458263.02
5.8,6,-28.69,-26.1,917791.98
6,6.2,-28.69,-26.1,1443200.35
6.2,6.4,-28.69,-26.1,2103362.91
6.4,6.6,-28.69,-26.1,3013545.98
6.6,6.8,-28.69,-26.1,4190200.76
6.8,7,-28.69,-26.1,5433877.26
7,7.2,-28.69,-26.1,6634064.49
7.2,7.4,-28.69,-26.1,8360870.71
7.4,7.6,-28.69,-26.1,11272576.55
7.6,7.8,-28.69,-26.1,13824238.38
7.8,8,-28.69,-26.1,16955309.53
8,8.2,-28.69,-26.1,20409286.9
